,modelo,ano_modelo,marca,modelo_raw
1,ETIOS X PLUS SEDAN 1.5 FLEX 16V 4P MEC.,2020.0,TOYOTA,ETIOS X PLUS SEDAN 1.5 FLEX 16V 4P MEC.
2,UNO DRIVE 1.0 FLEX 6V 5P,2020.0,FIAT,UNO DRIVE 1.0 FLEX 6V 5P
3,COMPASS LONGITUDE 2.0 4X2 FLEX 16V AUT.,2019.0,JEEP,COMPASS LONGITUDE 2.0 4X2 FLEX 16V AUT.
4,ONIX HATCH 1.0 12V FLEX 5P MEC.,2018.0,GM - CHEVROLET,ONIX HATCH 1.0 12V FLEX 5P MEC.
5,PALIO WEEK. ADV/ADV TRYON 1.8 MPI FLEX,2018.0,FIAT,PALIO WEEK. ADV/ADV TRYON 1.8 MPI FLEX
7,KA 1.0 FREESTYLE 12V FLEX 5P MEC.,2020.0,FORD,KA 1.0 FREESTYLE 12V FLEX 5P MEC.
11,CRETA ATTITUDE 1.6 16V FLEX AUT.,2020.0,HYUNDAI,CRETA ATTITUDE 1.6 16V FLEX AUT.
12,KA SE 1.0 HA B,2018.0,FORD,FORD/KA SE 1.0 HA B
13,COROLLA ALTIS/A.PREMIU. 2.0 FLEX 16V AUT.,2020.0,TOYOTA,COROLLA ALTIS/A.PREMIU. 2.0 FLEX 16V AUT
14,POLO 1.0 MI 79CV 16V 5P,2019.0,VW - VOLKSWAGEN,POLO 1.0 MI 79CV 16V 5P
15,TORO VOLCANO 1.3 T270 4X2 FLEX AUT.,2022.0,FIAT,TORO VOLCANO 1.3 T270 4X2 FLEX AUT.
19,HB20X DIAMOND 1.6 FLEX 16V AUT.,2021.0,HYUNDAI,HB20X DIAMOND 1.6 FLEX 16V AUT.
21,ONIX HATCH LTZ 1.4 8V FLEXPOWER 5P AUT.,2019.0,GM - CHEVROLET,ONIX HATCH LTZ 1.4 8V FLEXPOWER 5P AUT.
24,CAPTUR INTENSE 1.6 16V FLEX 5P AUT.,2018.0,RENAULT,CAPTUR INTENSE 1.6 16V FLEX 5P AUT.
25,CRONOS DRIVE 1.8 16V FLEX AUT.,2019.0,FIAT,CRONOS DRIVE 1.8 16V FLEX AUT.
26,COMPASS LIMITED T270 1.3 TB 4X2 FLEX AUT.,2022.0,JEEP,COMPASS LIMITED T270 1.3 TB 4X2 FLEX AUT
28,ONIX HATCH 1.0 12V FLEX 5P MEC.,2019.0,GM - CHEVROLET,ONIX HATCH 1.0 12V FLEX 5P MEC.
32,CIVIC SEDAN TOURING 1.5 TURBO 16V AUT.4P,2017.0,HONDA,CIVIC SEDAN TOURING 1.5 TURBO 16V AUT.4P
